"nom_ministro","sig_classe_proces","total_decs"
"MIN. LUIZ FUX","RHC","7"
"MIN. LUIZ FUX","RE","662"
"MIN. LUIZ FUX","Pet","3"
"MIN. LUIZ FUX","MS","29"
"MIN. LUIZ FUX","MI","71"
"MIN. LUIZ FUX","Inq","20"
"MIN. LUIZ FUX","HC","284"
"MIN. LUIZ FUX","Ext","3"
"MIN. LUIZ FUX","ARE","86"
"MIN. LUIZ FUX","AP","12"
"MIN. LUIZ FUX","AO","4"
"MIN. LUIZ FUX","AI","713"
"MIN. LUIZ FUX","ADPF","3"
"MIN. LUIZ FUX","ADI","23"
"MIN. LUIZ FUX","ADC","2"
"MIN. LUIZ FUX","ACO","4"
"MIN. LUIZ FUX","AC","14"
"MIN. MARCO AURÉLIO","STA","2"
"MIN. MARCO AURÉLIO","SS","1293"
"MIN. MARCO AURÉLIO","SL","21"
"MIN. MARCO AURÉLIO","SEC","71"
"MIN. MARCO AURÉLIO","SE","3862"
"MIN. MARCO AURÉLIO","RvC","21"
"MIN. MARCO AURÉLIO","Rcl","2852"
"MIN. MARCO AURÉLIO","RMS","187"
"MIN. MARCO AURÉLIO","RHC","157"
"MIN. MARCO AURÉLIO","RE","61178"
"MIN. MARCO AURÉLIO","Pet","1139"
"MIN. MARCO AURÉLIO","PPE","71"
"MIN. MARCO AURÉLIO","MS","1802"
"MIN. MARCO AURÉLIO","MI","908"
"MIN. MARCO AURÉLIO","Inq","306"
"MIN. MARCO AURÉLIO","IF","12140"
"MIN. MARCO AURÉLIO","HD","2"
"MIN. MARCO AURÉLIO","HC","6359"
"MIN. MARCO AURÉLIO","Ext","338"
"MIN. MARCO AURÉLIO","CR","3074"
"MIN. MARCO AURÉLIO","CC","45"
"MIN. MARCO AURÉLIO","AS","19"
"MIN. MARCO AURÉLIO","ARE","172"
"MIN. MARCO AURÉLIO","AR","381"
"MIN. MARCO AURÉLIO","AP","119"
"MIN. MARCO AURÉLIO","AOE","6"
"MIN. MARCO AURÉLIO","AO","247"
"MIN. MARCO AURÉLIO","AI","69505"
"MIN. MARCO AURÉLIO","ADPF","110"
"MIN. MARCO AURÉLIO","ADO","1"
"MIN. MARCO AURÉLIO","ADI","796"
"MIN. MARCO AURÉLIO","ADC","6"
"MIN. MARCO AURÉLIO","ACO","463"
"MIN. MARCO AURÉLIO","AC","852"
"MIN. MAURÍCIO CORRÊA","STA","42"
"MIN. MAURÍCIO CORRÊA","SS","407"
"MIN. MAURÍCIO CORRÊA","SL","99"
"MIN. MAURÍCIO CORRÊA","SEC","54"
"MIN. MAURÍCIO CORRÊA","SE","2512"
"MIN. MAURÍCIO CORRÊA","RvC","22"
"MIN. MAURÍCIO CORRÊA","Rcl","802"
"MIN. MAURÍCIO CORRÊA","RMS","22"
"MIN. MAURÍCIO CORRÊA","RHC","31"
"MIN. MAURÍCIO CORRÊA","RE","18539"
"MIN. MAURÍCIO CORRÊA","RC","2"
"MIN. MAURÍCIO CORRÊA","Pet","380"
"MIN. MAURÍCIO CORRÊA","PPE","39"
"MIN. MAURÍCIO CORRÊA","PETAV","1"
"MIN. MAURÍCIO CORRÊA","PETA","4"
"MIN. MAURÍCIO CORRÊA","MS","471"
"MIN. MAURÍCIO CORRÊA","MI","39"
"MIN. MAURÍCIO CORRÊA","Inq","160"
"MIN. MAURÍCIO CORRÊA","IF","4267"
"MIN. MAURÍCIO CORRÊA","HD","5"
"MIN. MAURÍCIO CORRÊA","HC","1284"
"MIN. MAURÍCIO CORRÊA","Ext","119"
"MIN. MAURÍCIO CORRÊA","Cm","2"
"MIN. MAURÍCIO CORRÊA","CR","2081"
"MIN. MAURÍCIO CORRÊA","CC","6"
"MIN. MAURÍCIO CORRÊA","AS","6"
"MIN. MAURÍCIO CORRÊA","AR","208"
"MIN. MAURÍCIO CORRÊA","AP","9"
"MIN. MAURÍCIO CORRÊA","AOE","1"
"MIN. MAURÍCIO CORRÊA","AO","169"
"MIN. MAURÍCIO CORRÊA","AI","30145"
"MIN. MAURÍCIO CORRÊA","ADPF","16"
"MIN. MAURÍCIO CORRÊA","ADI","465"
"MIN. MAURÍCIO CORRÊA","ADC","1"
"MIN. MAURÍCIO CORRÊA","ACO","74"
"MIN. MAURÍCIO CORRÊA","AC","51"
"MIN. MENEZES DIREITO","Rcl","361"
"MIN. MENEZES DIREITO","RMS","3"
"MIN. MENEZES DIREITO","RHC","14"
"MIN. MENEZES DIREITO","RE","4804"
"MIN. MENEZES DIREITO","Pet","65"
"MIN. MENEZES DIREITO","MS","156"
"MIN. MENEZES DIREITO","MI","42"
"MIN. MENEZES DIREITO","Inq","52"
"MIN. MENEZES DIREITO","HD","1"
"MIN. MENEZES DIREITO","HC","865"
"MIN. MENEZES DIREITO","Ext","49"
"MIN. MENEZES DIREITO","CC","27"
"MIN. MENEZES DIREITO","AR","49"
"MIN. MENEZES DIREITO","AP","41"
"MIN. MENEZES DIREITO","AO","20"
"MIN. MENEZES DIREITO","AI","6321"
"MIN. MENEZES DIREITO","ADPF","6"
"MIN. MENEZES DIREITO","ADI","137"
"MIN. MENEZES DIREITO","ADC","12"
"MIN. MENEZES DIREITO","ACO","98"
"MIN. MENEZES DIREITO","AC","66"
"MIN. MOREIRA ALVES","SEC","26"
"MIN. MOREIRA ALVES","RvC","19"
"MIN. MOREIRA ALVES","Rcl","148"
"MIN. MOREIRA ALVES","RMS","24"
"MIN. MOREIRA ALVES","RHC","8"
"MIN. MOREIRA ALVES","RE","10815"
"MIN. MOREIRA ALVES","Pet","140"
"MIN. MOREIRA ALVES","PPE","35"
"MIN. MOREIRA ALVES","MS","205"
"MIN. MOREIRA ALVES","MI","18"
"MIN. MOREIRA ALVES","Inq","128"
"MIN. MOREIRA ALVES","HD","2"
"MIN. MOREIRA ALVES","HC","787"
"MIN. MOREIRA ALVES","Ext","63"
"MIN. MOREIRA ALVES","Cm","1"
"MIN. MOREIRA ALVES","CC","2"
"MIN. MOREIRA ALVES","AR","262"
"MIN. MOREIRA ALVES","AP","6"
"MIN. MOREIRA ALVES","AO","66"
"MIN. MOREIRA ALVES","AI","27404"
"MIN. MOREIRA ALVES","ADI","202"
"MIN. MOREIRA ALVES","ADC","1"
"MIN. MOREIRA ALVES","ACO","58"
"MIN. NELSON JOBIM","STA","109"
"MIN. NELSON JOBIM","SS","969"
"MIN. NELSON JOBIM","SL","148"
"MIN. NELSON JOBIM","SEC","47"
"MIN. NELSON JOBIM","SE","2049"
"MIN. NELSON JOBIM","RvC","19"
"MIN. NELSON JOBIM","Rcl","609"
"MIN. NELSON JOBIM","RMS","108"
"MIN. NELSON JOBIM","RHC","37"
"MIN. NELSON JOBIM","RE","23560"
"MIN. NELSON JOBIM","Pet","329"
"MIN. NELSON JOBIM","PPE","65"
"MIN. NELSON JOBIM","OACO","2"
"MIN. NELSON JOBIM","MS","593"
"MIN. NELSON JOBIM","MI","36"
"MIN. NELSON JOBIM","Inq","155"
"MIN. NELSON JOBIM","IF","1154"
"MIN. NELSON JOBIM","HD","3"
"MIN. NELSON JOBIM","HC","1737"
"MIN. NELSON JOBIM","Ext","211"
"MIN. NELSON JOBIM","EL","3"
"MIN. NELSON JOBIM","CR","1307"
"MIN. NELSON JOBIM","CC","16"
"MIN. NELSON JOBIM","AS","6"
"MIN. NELSON JOBIM","AR","190"
"MIN. NELSON JOBIM","AP","8"
"MIN. NELSON JOBIM","AOE","5"
"MIN. NELSON JOBIM","AO","201"
"MIN. NELSON JOBIM","AI","36958"
"MIN. NELSON JOBIM","ADPF","15"
"MIN. NELSON JOBIM","ADI","266"
"MIN. NELSON JOBIM","ADC","2"
"MIN. NELSON JOBIM","ACO","118"
"MIN. NELSON JOBIM","AC","241"
"MIN. NÉRI DA SILVEIRA","SEC","27"
"MIN. NÉRI DA SILVEIRA","RvC","21"
"MIN. NÉRI DA SILVEIRA","Rcl","218"
"MIN. NÉRI DA SILVEIRA","RMS","32"
"MIN. NÉRI DA SILVEIRA","RHC","12"
"MIN. NÉRI DA SILVEIRA","RE","12459"
"MIN. NÉRI DA SILVEIRA","Pet","216"
"MIN. NÉRI DA SILVEIRA","PPE","27"
"MIN. NÉRI DA SILVEIRA","MS","263"
"MIN. NÉRI DA SILVEIRA","MI","14"
"MIN. NÉRI DA SILVEIRA","Inq","89"
"MIN. NÉRI DA SILVEIRA","HD","1"
"MIN. NÉRI DA SILVEIRA","HC","730"
"MIN. NÉRI DA SILVEIRA","Ext","152"
"MIN. NÉRI DA SILVEIRA","Cm","3"
"MIN. NÉRI DA SILVEIRA","CC","2"
"MIN. NÉRI DA SILVEIRA","ARv","1"
"MIN. NÉRI DA SILVEIRA","AR","97"
"MIN. NÉRI DA SILVEIRA","AP","10"
"MIN. NÉRI DA SILVEIRA","AOE","2"
"MIN. NÉRI DA SILVEIRA","AO","84"
"MIN. NÉRI DA SILVEIRA","AI","23103"
"MIN. NÉRI DA SILVEIRA","ADPF","2"
"MIN. NÉRI DA SILVEIRA","ADI","153"
"MIN. NÉRI DA SILVEIRA","ADC","1"
"MIN. NÉRI DA SILVEIRA","ACO","53"
"MIN. OCTAVIO GALLOTTI","SEC","17"
"MIN. OCTAVIO GALLOTTI","RvC","17"
"MIN. OCTAVIO GALLOTTI","Rcl","128"
"MIN. OCTAVIO GALLOTTI","RMS","6"
"MIN. OCTAVIO GALLOTTI","RHC","6"
"MIN. OCTAVIO GALLOTTI","RE","6099"
"MIN. OCTAVIO GALLOTTI","Pet","107"
"MIN. OCTAVIO GALLOTTI","PPE","15"
"MIN. OCTAVIO GALLOTTI","MS","148"
"MIN. OCTAVIO GALLOTTI","MI","25"
"MIN. OCTAVIO GALLOTTI","Inq","33"
"MIN. OCTAVIO GALLOTTI","HD","1"
"MIN. OCTAVIO GALLOTTI","HC","653"
"MIN. OCTAVIO GALLOTTI","Ext","39"
"MIN. OCTAVIO GALLOTTI","CC","4"
"MIN. OCTAVIO GALLOTTI","AR","58"
"MIN. OCTAVIO GALLOTTI","AP","4"
"MIN. OCTAVIO GALLOTTI","AOE","1"
"MIN. OCTAVIO GALLOTTI","AO","44"
"MIN. OCTAVIO GALLOTTI","AI","11288"
"MIN. OCTAVIO GALLOTTI","ADI","331"
"MIN. OCTAVIO GALLOTTI","ACO","30"
"MIN. RICARDO LEWANDOWSKI","RvC","13"
"MIN. RICARDO LEWANDOWSKI","Rcl","1782"
"MIN. RICARDO LEWANDOWSKI","RMS","149"
"MIN. RICARDO LEWANDOWSKI","RHC","90"
"MIN. RICARDO LEWANDOWSKI","RE","18998"
"MIN. RICARDO LEWANDOWSKI","Pet","189"
"MIN. RICARDO LEWANDOWSKI","PSV","33"
"MIN. RICARDO LEWANDOWSKI","PPE","25"
"MIN. RICARDO LEWANDOWSKI","MS","753"
"MIN. RICARDO LEWANDOWSKI","MI","711"
"MIN. RICARDO LEWANDOWSKI","Inq","264"
"MIN. RICARDO LEWANDOWSKI","HD","3"
"MIN. RICARDO LEWANDOWSKI","HC","3409"
"MIN. RICARDO LEWANDOWSKI","Ext","106"
"MIN. RICARDO LEWANDOWSKI","CC","66"
"MIN. RICARDO LEWANDOWSKI","ARE","221"
"MIN. RICARDO LEWANDOWSKI","AR","271"
"MIN. RICARDO LEWANDOWSKI","AP","222"
"MIN. RICARDO LEWANDOWSKI","AOE","2"
"MIN. RICARDO LEWANDOWSKI","AO","244"
"MIN. RICARDO LEWANDOWSKI","AI","27420"
"MIN. RICARDO LEWANDOWSKI","ADPF","82"
"MIN. RICARDO LEWANDOWSKI","ADO","4"
"MIN. RICARDO LEWANDOWSKI","ADI","321"
"MIN. RICARDO LEWANDOWSKI","ADC","7"
"MIN. RICARDO LEWANDOWSKI","ACO","605"
"MIN. RICARDO LEWANDOWSKI","AC","435"
"MIN. SEPÚLVEDA PERTENCE","STA","1"
"MIN. SEPÚLVEDA PERTENCE","SS","3"
"MIN. SEPÚLVEDA PERTENCE","SL","2"
"MIN. SEPÚLVEDA PERTENCE","SEC","37"
"MIN. SEPÚLVEDA PERTENCE","RvC","19"
"MIN. SEPÚLVEDA PERTENCE","Rcl","834"
"MIN. SEPÚLVEDA PERTENCE","RMS","64"
"MIN. SEPÚLVEDA PERTENCE","RHC","79"
"MIN. SEPÚLVEDA PERTENCE","RE","35127"
"MIN. SEPÚLVEDA PERTENCE","Pet","316"
"MIN. SEPÚLVEDA PERTENCE","PPE","39"
"MIN. SEPÚLVEDA PERTENCE","MS","581"
"MIN. SEPÚLVEDA PERTENCE","MI","27"
"MIN. SEPÚLVEDA PERTENCE","Inq","196"
"MIN. SEPÚLVEDA PERTENCE","HD","6"
"MIN. SEPÚLVEDA PERTENCE","HC","2159"
"MIN. SEPÚLVEDA PERTENCE","Ext","124"
"MIN. SEPÚLVEDA PERTENCE","ES","1"
"MIN. SEPÚLVEDA PERTENCE","CC","29"
"MIN. SEPÚLVEDA PERTENCE","ARv","1"
"MIN. SEPÚLVEDA PERTENCE","AR","210"
"MIN. SEPÚLVEDA PERTENCE","AP","7"
"MIN. SEPÚLVEDA PERTENCE","AOE","4"
"MIN. SEPÚLVEDA PERTENCE","AO","93"
"MIN. SEPÚLVEDA PERTENCE","AI","49939"
"MIN. SEPÚLVEDA PERTENCE","ADPF","29"
"MIN. SEPÚLVEDA PERTENCE","ADI","342"
"MIN. SEPÚLVEDA PERTENCE","ACO","121"
"MIN. SEPÚLVEDA PERTENCE","AC","290"
"MIN. SYDNEY SANCHES","SEC","32"
"MIN. SYDNEY SANCHES","RvC","20"
"MIN. SYDNEY SANCHES","Rcl","197"
"MIN. SYDNEY SANCHES","RMS","26"
"MIN. SYDNEY SANCHES","RHC","14"
"MIN. SYDNEY SANCHES","RE","16813"
"MIN. SYDNEY SANCHES","Pet","199"
"MIN. SYDNEY SANCHES","PPE","76"
"MIN. SYDNEY SANCHES","MS","233"
"MIN. SYDNEY SANCHES","MI","15"
"MIN. SYDNEY SANCHES","Inq","179"
"MIN. SYDNEY SANCHES","HD","1"
"MIN. SYDNEY SANCHES","HC","829"
"MIN. SYDNEY SANCHES","Ext","119"
"MIN. SYDNEY SANCHES","CC","8"
"MIN. SYDNEY SANCHES","AR","192"
"MIN. SYDNEY SANCHES","AOE","4"
"MIN. SYDNEY SANCHES","AO","43"
"MIN. SYDNEY SANCHES","AI","28483"
"MIN. SYDNEY SANCHES","ADPF","1"
"MIN. SYDNEY SANCHES","ADI","276"
"MIN. SYDNEY SANCHES","ADC","2"
"MIN. SYDNEY SANCHES","ACO","49"
"MIN. SYDNEY SANCHES","AC","3"
"MINISTRO PRESIDENTE","STA","454"
"MINISTRO PRESIDENTE","SS","1816"
"MINISTRO PRESIDENTE","SL","316"
"MINISTRO PRESIDENTE","SEC","33"
"MINISTRO PRESIDENTE","SE","2932"
"MINISTRO PRESIDENTE","RvC","4"
"MINISTRO PRESIDENTE","Rcl","749"
"MINISTRO PRESIDENTE","RMS","15"
"MINISTRO PRESIDENTE","RMI","1"
"MINISTRO PRESIDENTE","RHC","17"
"MINISTRO PRESIDENTE","RE","1777"
"MINISTRO PRESIDENTE","Pet","287"
"MINISTRO PRESIDENTE","PSV","19"
"MINISTRO PRESIDENTE","PPE","31"
"MINISTRO PRESIDENTE","PETAV","2"
"MINISTRO PRESIDENTE","PETA","12"
"MINISTRO PRESIDENTE","MS","745"
"MINISTRO PRESIDENTE","MI","212"
"MINISTRO PRESIDENTE","Inq","54"
"MINISTRO PRESIDENTE","IF","2426"
"MINISTRO PRESIDENTE","HD","6"
"MINISTRO PRESIDENTE","HC","2369"
"MINISTRO PRESIDENTE","Ext","126"
"MINISTRO PRESIDENTE","CR","3731"
"MINISTRO PRESIDENTE","CC","17"
"MINISTRO PRESIDENTE","AS","19"
"MINISTRO PRESIDENTE","ARv","1"
"MINISTRO PRESIDENTE","ARE","324"
"MINISTRO PRESIDENTE","AR","60"
"MINISTRO PRESIDENTE","AP","21"
"MINISTRO PRESIDENTE","AOE","4"
"MINISTRO PRESIDENTE","AO","32"
"MINISTRO PRESIDENTE","AImp","3"
"MINISTRO PRESIDENTE","AI","21137"
"MINISTRO PRESIDENTE","ADPF","12"
"MINISTRO PRESIDENTE","ADI","166"
"MINISTRO PRESIDENTE","ADC","2"
"MINISTRO PRESIDENTE","ACO","76"
"MINISTRO PRESIDENTE","AC","177"
"VICE-PRESIDENTE","STA","1"
"VICE-PRESIDENTE","SS","4"
"VICE-PRESIDENTE","SL","4"
"VICE-PRESIDENTE","Rcl","2"
"VICE-PRESIDENTE","MS","4"
"VICE-PRESIDENTE","HC","8"
"VICE-PRESIDENTE","ADI","1"
